ID,IP,time,day,choice
moonl,10.0.3.112,2021年06月07日17:21:23,星期一,A
Qiiiiii,10.0.6.39,2021年06月01日09:24:52,星期二,A
Iowa,10.0.33.83,2021年06月07日13:12:04,星期一,A
sanshan,10.0.37.241,2021年06月01日08:10:00,星期二,A
MrWolffy,10.0.38.40,2021年06月02日17:07:08,星期三,A
ARABBIT,10.0.54.232,2021年05月31日19:53:51,星期一,A
Lithium,10.0.58.65,2021年05月31日18:40:20,星期一,A
edenhazard,10.0.68.104,2021年06月02日20:27:51,星期三,A
RichardGreen,10.0.84.18,2021年05月31日19:48:50,星期一,A
desmondliang,10.0.220.69,2021年06月04日14:35:35,星期五,A
starlight,10.1.25.78,2021年06月02日14:51:49,星期三,A
motaguoke,10.1.59.229,2021年06月03日17:35:03,星期四,A
SrinceW,10.1.65.97,2021年06月01日12:44:28,星期二,A
hrcegg,10.1.168.132,2021年06月04日14:10:36,星期五,A
himitsu,10.2.17.255,2021年05月31日18:10:43,星期一,A
sjwclwnayz,10.2.19.220,2021年06月02日20:33:46,星期三,A
catalyze,10.2.24.155,2021年05月31日21:32:12,星期一,A
biuJON,10.2.36.2,2021年06月01日01:09:04,星期二,A
wuyuchuan,10.2.36.62,2021年06月01日09:22:20,星期二,A
lxy,10.2.39.238,2021年05月31日20:11:10,星期一,A
zinccat,10.2.73.223,2021年06月04日20:42:56,星期五,A
EzawaTamiko,10.2.88.107,2021年05月31日22:32:47,星期一,A
LH,10.2.197.93,2021年06月07日11:10:33,星期一,A
idiocratic,10.2.214.18,2021年05月31日19:46:47,星期一,A
lizx,10.2.216.242,2021年06月02日23:04:57,星期三,A
YvonneLLL,10.2.220.93,2021年06月02日08:05:43,星期三,A
yydcj,10.3.243.157,2021年06月07日17:52:43,星期一,A
wky,10.128.0.61,2021年06月03日03:21:40,星期四,A
rlcheng,10.128.180.237,2021年06月03日14:25:40,星期四,A
fundamental,10.128.182.58,2021年05月31日23:03:35,星期一,A
EulerHuaji,10.128.188.215,2021年06月04日00:22:17,星期五,A
kanez,36.112.81.226,2021年06月03日08:03:13,星期四,A
accept,36.112.184.249,2021年06月01日10:48:43,星期二,A
Destinii,42.245.220.28,2021年06月02日18:56:58,星期三,B
eeeKd,42.245.220.79,2021年06月01日19:27:53,星期二,B
derive,42.245.220.79,2021年06月01日19:37:38,星期二,B
bonfire,42.245.220.79,2021年06月01日19:35:41,星期二,B
amoykang,59.59.58.6,2021年06月02日14:15:31,星期三,A
ququlongsha,99.184.133.104,2021年06月04日09:41:56,星期五,A
xiaohehe,101.80.23.240,2021年06月02日21:55:09,星期三,A
kitdzlove,104.237.159.66,2021年06月01日19:52:18,星期二,B
Talutsai,111.196.244.255,2021年06月01日22:17:17,星期二,A
watem,114.242.250.43,2021年06月07日01:33:41,星期一,A
Nachtmusik,114.249.134.157,2021年05月31日20:19:04,星期一,A
maonster,116.7.52.110,2021年06月03日11:17:47,星期四,A
hscxcb,117.136.0.99,2021年06月06日23:53:53,星期天,A
xuziling,117.136.0.226,2021年06月04日19:25:34,星期五,B
viviss,117.136.38.93,2021年06月04日09:27:12,星期五,B
SQ,122.139.1.109,2021年05月31日19:40:51,星期一,A
Admi,123.112.66.24,2021年06月01日00:18:37,星期二,A
Reines,123.113.32.172,2021年06月01日00:42:37,星期二,A
euio,124.64.19.35,2021年06月03日14:04:47,星期四,A
bananaskin,124.126.202.223,2021年06月01日23:35:27,星期二,A
houbuhoua,124.200.182.249,2021年06月01日15:56:01,星期二,A
woctordho,132.239.27.50,2021年06月01日04:56:49,星期二,A
Fireworks,145.107.154.249,2021年05月31日18:16:50,星期一,A
ryanli,159.253.229.96,2021年06月06日23:59:16,星期天,A
Iridaze,162.105.36.218,2021年06月06日14:11:59,星期天,A
mojave,162.105.87.33,2021年06月04日15:58:09,星期五,A
spiridempt,162.105.88.89,2021年05月31日20:02:18,星期一,A
RayPrime,163.125.76.170,2021年06月07日07:56:48,星期一,A
docu,166.111.224.195,2021年05月31日19:59:43,星期一,A
tangmo,172.20.1.183,2021年06月01日00:49:57,星期二,A
bailangdx,172.20.17.151,2021年06月04日15:51:21,星期五,B
Noah,172.20.32.198,2021年06月02日09:02:09,星期三,B
ZBFSZX,172.20.33.118,2021年06月02日11:34:03,星期三,A
webberjian,172.20.48.56,2021年06月06日00:21:40,星期天,B
ZelmaYoung,172.20.50.225,2021年06月04日19:41:13,星期五,B
doctorfree,172.20.51.23,2021年06月01日10:38:58,星期二,A
ducker,172.20.65.192,2021年05月31日22:07:51,星期一,A
gaodi,172.20.67.109,2021年06月04日11:33:41,星期五,B
Velpro,172.20.80.116,2021年06月01日19:26:11,星期二,B
dengrun,172.20.80.223,2021年06月01日08:06:04,星期二,A
soniaw,172.20.81.50,2021年06月07日10:01:06,星期一,B
Rorschach,172.20.82.12,2021年06月04日09:58:14,星期五,B
vvvvic,172.20.83.111,2021年06月02日09:24:19,星期三,B
yuanhuang,172.20.83.132,2021年05月31日19:42:30,星期一,A
thedoor,172.20.97.184,2021年06月02日12:19:46,星期三,B
hhhhhhhhhhh,172.20.98.116,2021年06月03日11:44:44,星期四,B
cxaicx,172.20.98.147,2021年06月07日10:53:23,星期一,B
ssssuuuu,172.20.98.174,2021年06月02日13:16:21,星期三,B
augatuniv,172.20.98.178,2021年06月01日17:59:25,星期二,B
skygs,172.20.99.22,2021年06月04日13:03:01,星期五,B
enozi,172.20.112.24,2021年06月04日11:16:59,星期五,B
bigdouble,172.20.113.147,2021年06月04日14:59:18,星期五,B
stonez,172.20.114.66,2021年05月31日20:05:18,星期一,A
bwcx,172.20.115.116,2021年06月07日10:49:48,星期一,B
HANZPAN,172.20.130.131,2021年06月03日14:07:03,星期四,A
gol,172.20.131.3,2021年05月31日21:33:14,星期一,A
zaiqiang,172.20.146.186,2021年05月31日23:07:48,星期一,A
tsiau,172.20.147.37,2021年06月01日00:59:06,星期二,A
docidaci,172.20.176.136,2021年06月01日19:05:38,星期二,B
Hangovers,172.20.177.198,2021年06月01日17:05:20,星期二,B
pinellia,172.20.178.238,2021年06月06日23:57:43,星期天,B
lyhsunny,172.20.179.11,2021年06月05日19:31:09,星期六,B
muktub,172.20.192.68,2021年06月07日10:46:49,星期一,B
bias,172.20.192.241,2021年06月04日14:52:47,星期五,B
Pip,172.20.194.131,2021年06月03日13:56:02,星期四,B
Tavstar,172.20.209.220,2021年05月31日22:02:32,星期一,A
arzthxy,172.20.210.64,2021年06月04日18:06:08,星期五,B
bridgefly,172.20.210.106,2021年06月07日10:35:56,星期一,A
zaza,172.20.210.154,2021年06月03日21:30:28,星期四,A
lululux,172.20.226.226,2021年06月04日09:05:55,星期五,B
ckrenren,172.20.226.254,2021年06月04日16:25:07,星期五,A
Eden,172.20.242.213,2021年06月04日19:02:59,星期五,B
nancycat,172.20.243.92,2021年06月04日11:45:28,星期五,B
survivor,172.58.171.158,2021年06月05日08:28:57,星期六,A
XuLanTu,173.35.235.154,2021年06月07日03:38:57,星期一,A
pkuerljh,183.173.107.68,2021年06月05日09:39:29,星期六,A
vitiger,183.173.143.103,2021年05月31日19:34:28,星期一,A
puzhe,202.108.53.3,2021年06月07日11:55:39,星期一,A
Briseis,202.112.184.101,2021年06月04日16:17:14,星期五,B
ZQM,210.73.76.97,2021年06月01日12:14:30,星期二,A
lohas,211.71.48.94,2021年06月03日11:04:55,星期四,B
bjdoufei,211.71.48.234,2021年06月04日09:54:30,星期五,B
hanhanmei,211.71.50.77,2021年06月01日15:57:44,星期二,B
monicany,211.71.50.252,2021年06月01日21:05:41,星期二,B
cgbdycz,211.82.68.51,2021年06月04日11:05:13,星期五,B
lemonlemon,211.82.69.92,2021年06月04日15:00:58,星期五,B
sweetmonkey,211.82.71.69,2021年06月04日11:25:15,星期五,B
Tranquilsun,211.103.82.185,2021年06月03日06:46:08,星期四,A
Delusional,220.163.11.117,2021年06月04日12:43:57,星期五,A
zhanyihe,221.222.20.9,2021年06月07日00:02:39,星期一,A
Brielle,222.28.109.25,2021年06月04日08:50:54,星期五,B
pangshuaige,222.28.110.5,2021年06月02日15:41:28,星期三,A
lnpku,222.29.101.158,2021年06月01日15:10:29,星期二,A
Moony,222.29.116.147,2021年06月03日10:54:14,星期四,A
leppapebc,223.72.40.201,2021年05月31日18:34:47,星期一,A
dvoraz,223.72.93.164,2021年06月03日07:55:15,星期四,A
faruxue,223.104.38.25,2021年06月07日16:00:40,星期一,B
KennethPKU,223.104.38.37,2021年06月07日00:07:05,星期一,A
bradtido,223.104.41.154,2021年05月31日19:28:32,星期一,A
Tool,223.104.42.119,2021年06月04日13:59:53,星期五,B
psychosocial,223.104.44.107,2021年06月04日09:00:05,星期五,B
